dataset,model,threshold,score,accuracy,precision,recall,f1,roc_auc,pr_auc,recall_at_top_10_percent,recall_at_top_20_percent,lift_at_top_10_percent,lift_at_top_20_percent
employee_attrition_datasettrain,Logistic Regression Tuned,0.26,0.3517659994132795,0.65,0.2037037037037037,0.2894736842105263,0.2391304347826087,0.49853801169590645,0.1914459081933086,0.10526315789473684,0.21052631578947367,1.0526315789473684,1.0526315789473684
employee_attrition_datasettrain,Balanced Logistic Regression,0.6400000000000001,0.33978526803646486,0.695,0.20512820512820512,0.21052631578947367,0.2077922077922078,0.5035737491877843,0.19445749854841393,0.10526315789473684,0.21052631578947367,1.0526315789473684,1.0526315789473684
employee_attrition_datasettrain,Random Forest Balanced,0.28,0.34286828586528834,0.65,0.19230769230769232,0.2631578947368421,0.2222222222222222,0.5064977257959714,0.1930403335366741,0.05263157894736842,0.21052631578947367,0.5263157894736842,1.0526315789473684
employee_attrition_datasettrain,Extra Trees Balanced,0.32000000000000006,0.30853925884076056,0.675,0.17073170731707318,0.18421052631578946,0.17721518987341772,0.4489928525016244,0.17413484214149122,0.05263157894736842,0.15789473684210525,0.5263157894736842,0.7894736842105263
employee_attrition_datasettrain,Gradient Boosting,0.22000000000000003,0.3881554933121032,0.66,0.2413793103448276,0.3684210526315789,0.2916666666666667,0.5193307342430149,0.20221165154544557,0.05263157894736842,0.21052631578947367,0.5263157894736842,1.0526315789473684
ibm_hr_attrition,Logistic Regression Tuned,0.30000000000000004,0.6704709983899997,0.8537414965986394,0.5370370370370371,0.6170212765957447,0.5742574257425742,0.8216900680506504,0.6139842939634071,0.425531914893617,0.6170212765957447,4.170212765957446,3.0746483952398123
ibm_hr_attrition,Balanced Logistic Regression,0.7400000000000002,0.6364079118977154,0.8537414965986394,0.5434782608695652,0.5319148936170213,0.5376344086021505,0.8019639934533551,0.558285965090197,0.3617021276595745,0.574468085106383,3.5446808510638292,2.862603678326722
ibm_hr_attrition,Random Forest Balanced,0.32000000000000006,0.6562365955882214,0.8639455782312925,0.5777777777777777,0.5531914893617021,0.5652173913043478,0.7977431303299165,0.589585139847658,0.40425531914893614,0.5957446808510638,3.961702127659574,2.968626036783267
ibm_hr_attrition,Extra Trees Balanced,0.34,0.6942819144413661,0.8537414965986394,0.5333333333333333,0.6808510638297872,0.5981308411214953,0.8374536997157378,0.623917263357059,0.425531914893617,0.6808510638297872,4.170212765957446,3.3927154706094482
ibm_hr_attrition,Gradient Boosting,0.24000000000000002,0.6279665748279459,0.826530612244898,0.4666666666666667,0.5957446808510638,0.5233644859813084,0.7787923163063141,0.5363886020467037,0.3404255319148936,0.5957446808510638,3.3361702127659574,2.968626036783267
synthetic_employee_attrition_74498train,Logistic Regression Tuned,0.32000000000000006,0.7226836077851564,0.687,0.6213592233009708,0.8748685594111462,0.7266375545851529,0.7858406923913205,0.7559263274740626,0.1819137749737119,0.34209603925692256,1.8191377497371188,1.7104801962846128
synthetic_employee_attrition_74498train,Balanced Logistic Regression,0.34,0.7228413252117276,0.6866666666666666,0.6208095356344674,0.8762705923589205,0.7267441860465116,0.785811065702084,0.7558480168150625,0.1819137749737119,0.34209603925692256,1.8191377497371188,1.7104801962846128
synthetic_employee_attrition_74498train,Random Forest Balanced,0.38000000000000006,0.7225669919597335,0.6983333333333334,0.6371285826978701,0.8492814581142657,0.7280649038461539,0.7884589788972212,0.7577169167150677,0.18436733263231686,0.34314756396775326,1.8436733263231688,1.7157378198387663
synthetic_employee_attrition_74498train,Extra Trees Balanced,0.36000000000000004,0.7112767124276775,0.6765,0.6146304675716441,0.8569926393270242,0.7158541941150637,0.775215403294421,0.7445759728159931,0.17665615141955837,0.33613739922888186,1.7665615141955837,1.6806869961444095
synthetic_employee_attrition_74498train,Gradient Boosting,0.34,0.7316707789742422,0.6988333333333333,0.6320040383644624,0.8776726253066947,0.7348495964783566,0.797445110153924,0.7689836739439458,0.18576936558009113,0.34945671223273744,1.8576936558009114,1.7472835611636874
