dataset,driver,importance
ibm_hr_attrition,OverTime,0.13842519045410515
ibm_hr_attrition,JobRole,0.06898238641715841
ibm_hr_attrition,TotalWorkingYears,0.04570343760195624
ibm_hr_attrition,NumCompaniesWorked,0.04097186891027749
ibm_hr_attrition,JobLevel,0.03180632330462892
ibm_hr_attrition,JobSatisfaction,0.03125498010843177
ibm_hr_attrition,MonthlyIncome,0.030352031197506908
ibm_hr_attrition,BusinessTravel,0.026364041267539204
ibm_hr_attrition,DistanceFromHome,-0.020063435622534938
ibm_hr_attrition,YearsWithCurrManager,0.01934487450594899
synthetic_employee_attrition_74498,cat__Job Level_Senior,0.2214865224541307
synthetic_employee_attrition_74498,cat__Job Level_Entry,0.1306908825415637
synthetic_employee_attrition_74498,cat__Remote Work_Yes,0.1160126379253894
synthetic_employee_attrition_74498,cat__Work-Life Balance_Fair,0.07630233260949798
synthetic_employee_attrition_74498,cat__Remote Work_No,0.07013808123072832
synthetic_employee_attrition_74498,num__Number of Promotions,0.061031322179512945
synthetic_employee_attrition_74498,num__Distance from Home,0.04433279249161564
synthetic_employee_attrition_74498,cat__Education Level_PhD,0.04343448381385219
synthetic_employee_attrition_74498,cat__Work-Life Balance_Poor,0.03903801015354001
synthetic_employee_attrition_74498,num__Number of Dependents,0.038698883421738335
