EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,OverTime,JobSatisfaction,WorkLifeBalance,PerformanceRating,DistanceFromHome,TrainingTimesLastYear,EnvironmentSatisfaction,ManagerRating,PromotionLast2Years,SalaryHikePercent,AbsenteeismDays,Attrition
100001,37,Female,R&D,Research Scientist,110827,7.0,7.0,No,4,4,3,5,0,4,4,0,12.1,2,No
100002,26,Male,Customer Support,Customer Success Manager,89174,5.1,0.0,Yes,3,3,4,19,0,3,3,1,12.6,1,No
100003,41,Male,Operations,Operations Manager,92806,4.7,3.1,Yes,4,2,3,5,2,2,2,0,8.1,3,No
100004,42,Male,R&D,Research Scientist,78203,4.5,3.3,No,3,4,3,22,1,2,3,0,11.7,11,No
100005,19,Male,IT,Systems Administrator,91943,3.9,3.0,No,2,2,3,17,2,4,5,0,10.1,3,No
100006,24,Male,Customer Support,Customer Success Manager,72969,1.5,0.0,No,3,3,5,19,1,3,5,0,16.6,3,No
100007,36,Male,R&D,Lab Technician,89607,5.8,4.9,No,4,3,3,12,2,2,4,0,11.0,6,No
100008,32,Female,Finance,Financial Analyst,87787,2.6,2.1,No,3,4,4,3,3,4,2,0,15.1,1,Yes
100009,34,Male,Customer Support,Support Specialist,79687,3.5,2.5,No,2,4,3,5,2,4,3,0,9.0,4,No
100010,28,Male,R&D,Product Engineer,99622,7.3,3.0,No,2,3,3,10,5,4,3,0,11.9,2,Yes
100011,42,Male,Operations,Operations Manager,93247,3.9,0.8,No,4,4,3,6,1,1,4,0,16.6,2,No
100012,41,Male,Sales,Sales Executive,63789,3.7,2.7,No,4,4,4,7,1,4,5,0,13.5,0,No
100013,35,Male,Finance,Finance Manager,102300,4.5,0.0,No,1,3,4,11,3,1,4,0,12.1,0,No
100014,44,Male,Operations,Supply Chain Specialist,67037,3.2,1.8,Yes,3,2,3,7,1,3,3,0,9.0,6,No
100015,38,Male,Finance,Finance Manager,132046,13.5,12.8,No,3,4,2,4,3,2,5,0,11.9,1,Yes
100016,27,Female,HR,Recruiter,103557,12.3,10.3,No,3,2,3,13,2,2,3,0,16.9,1,No
100017,38,Female,Finance,Financial Analyst,107926,12.1,7.3,No,3,3,2,11,3,3,3,0,7.2,7,No
100018,27,Male,Sales,Sales Executive,80554,5.1,1.0,Yes,2,3,4,7,2,1,4,0,13.8,3,No
100019,42,Female,Sales,Sales Manager,80954,2.5,1.8,No,3,3,3,12,1,3,3,0,6.0,4,No
100020,34,Female,R&D,Data Scientist,112377,7.4,7.0,No,2,4,3,9,2,4,3,0,10.6,2,No
100021,33,Female,Finance,Financial Analyst,91741,3.2,2.1,No,2,3,3,17,1,2,3,0,12.9,3,No
100022,29,Female,R&D,Product Engineer,99474,7.9,5.6,No,4,3,3,9,1,2,5,0,6.5,0,No
100023,45,Female,R&D,Product Engineer,80542,2.4,0.0,No,2,3,4,17,4,3,5,0,12.4,7,No
100024,33,Female,Operations,Operations Analyst,77582,5.4,1.7,No,3,4,3,3,2,3,3,0,13.0,3,No
100025,31,Female,R&D,Data Scientist,132720,8.6,6.9,No,3,3,4,11,4,3,3,0,14.5,1,No
100026,32,Male,R&D,Data Scientist,105635,3.4,1.6,No,2,4,3,7,3,2,3,0,13.2,6,Yes
100027,39,Male,R&D,Lab Technician,96125,3.4,1.7,No,4,4,3,5,1,4,3,1,11.1,0,No
100028,37,Male,Sales,Sales Representative,53408,1.1,0.0,Yes,2,2,3,15,3,4,3,0,13.0,8,No
100029,38,Male,IT,Systems Administrator,85805,2.5,0.0,No,2,2,3,13,2,2,3,0,9.9,10,No
100030,38,Male,R&D,Product Engineer,92139,5.0,4.3,Yes,2,3,3,3,0,2,4,0,14.5,4,Yes
100031,52,Male,Sales,Sales Representative,77863,5.6,3.0,No,2,3,2,12,1,3,3,0,4.0,5,No
100032,31,Female,Customer Support,Support Lead,78220,6.1,2.9,Yes,2,3,4,11,2,2,3,0,13.0,1,No
100033,30,Male,Operations,Operations Manager,76085,0.8,0.0,Yes,3,1,3,5,1,3,3,0,12.3,4,No
100034,28,Female,IT,Systems Administrator,78888,3.2,1.3,No,3,3,3,5,4,4,3,0,16.7,3,No
100035,40,Male,Operations,Operations Manager,94775,1.3,0.0,Yes,2,1,3,3,4,3,3,0,12.3,6,No
100036,44,Male,Customer Support,Support Specialist,75728,4.9,3.5,No,2,3,3,7,2,2,4,0,12.7,4,Yes
100037,34,Female,R&D,Research Scientist,88161,0.9,0.0,No,4,3,3,7,3,3,2,0,13.3,3,No
100038,28,Female,Finance,Financial Analyst,76063,1.6,0.0,No,3,2,3,13,2,3,5,0,16.4,5,No
100039,28,Female,Finance,Finance Manager,127942,6.9,5.3,Yes,3,2,3,9,1,3,4,0,10.7,1,No
100040,40,Female,R&D,Lab Technician,76725,2.7,1.9,Yes,4,1,3,5,1,4,4,0,7.1,3,No
100041,41,Female,R&D,Product Engineer,91587,9.7,7.7,No,3,2,3,9,2,4,4,0,6.4,6,No
100042,39,Male,Sales,Sales Executive,69342,6.2,3.4,No,4,4,4,7,3,3,3,0,16.3,2,No
100043,29,Male,Finance,Financial Analyst,91643,3.4,0.1,No,4,3,3,5,1,3,3,0,12.8,2,No
100044,36,Male,Operations,Supply Chain Specialist,74544,7.6,7.1,Yes,4,1,4,3,6,4,3,0,13.1,10,No
100045,35,Female,Operations,Operations Analyst,58291,3.6,0.0,No,4,3,3,12,5,4,3,0,9.9,1,No
100046,36,Female,R&D,Research Scientist,79955,6.7,4.0,No,3,2,4,10,3,4,4,0,14.6,5,No
100047,42,Male,Sales,Sales Manager,88303,2.4,0.0,No,3,4,4,11,1,3,3,0,14.7,1,No
100048,36,Male,R&D,Research Scientist,86252,7.9,7.6,Yes,3,2,3,5,4,2,4,1,16.2,3,No
100049,40,Male,HR,Recruiter,64141,1.0,0.0,No,1,3,3,9,3,4,2,0,8.1,0,No
100050,35,Male,Customer Support,Customer Success Manager,74167,1.6,1.1,No,4,3,2,4,1,3,3,0,5.8,0,No
100051,37,Male,Operations,Operations Manager,81145,1.9,0.7,Yes,2,3,3,5,4,3,4,0,8.8,3,No
100052,40,Male,Customer Support,Customer Success Manager,71331,2.6,0.0,Yes,4,1,3,8,4,3,3,0,7.3,3,Yes
100053,23,Female,Operations,Operations Manager,100497,5.2,4.7,Yes,3,2,3,9,4,2,3,0,7.1,1,No
100054,32,Male,Customer Support,Customer Success Manager,78333,4.1,3.2,No,4,4,4,3,3,4,3,0,19.5,5,No
100055,31,Female,R&D,Product Engineer,95395,6.7,6.4,No,2,2,3,5,1,4,1,0,4.1,9,No
100056,29,Female,Sales,Sales Executive,83453,8.7,6.0,No,2,2,4,7,1,3,3,1,18.1,7,Yes
100057,32,Male,Sales,Account Manager,82394,0.9,0.2,Yes,1,2,3,14,0,3,4,0,15.2,5,Yes
100058,47,Male,R&D,Research Scientist,112489,9.4,7.9,No,3,4,2,5,3,2,3,0,15.5,0,No
100059,27,Female,R&D,Software Engineer,86683,3.5,1.4,No,2,3,2,9,0,1,3,0,13.0,3,No
